name,original_text,translated_text
PINSTRESS_FINAL_MEET,"Ah ha! Needle bug! Who else would dare wake a Pinstress with such force?!&lt;page&gt;Saw my wish, I&#8217;m guessing? Here hopin&#8217; to fulfill it?&lt;hpage&gt;I know what you are seeking, Pinstress... a death duel, an end from battle, not cavern&#8217;s collapse.&lt;hpage&gt;I can oblige... to a point... But a greater challenge still awaits me below.&lt;page&gt;Whatever else you&#8217;re about, you might be finding it futile now, needle bug. The black quakes... Pharloom&#8217;s finale arrives.&lt;page&gt;So let&#8217;s stop the yapping, aye! How&#8217;s &#8216;bout we begin? Let&#8217;s see at least one of us end true to our nature!","Ah ha! Serangga jarum! Siapa lagi yang berani membangunkan Pinstress dengan kekuatan seperti itu?!&lt;page&gt;Melihat keinginanmu, aku menebaknya? Di sini berharap untuk memenuhinya?&lt;hpage&gt;Aku tahu apa yang kau cari, Pinstress... duel maut, akhir dari pertempuran, bukan runtuhnya gua.&lt;hpage&gt;Aku bisa menuruti... sampai batas tertentu... Tapi tantangan yang lebih besar masih menanti di bawah.&lt;page&gt;Apa pun yang kau lakukan, mungkin kini sia-sia, jarum serangga. Gempa hitam... Akhir Pharloom tiba.&lt;page&gt;Jadi, hentikan omong kosongnya, ya! Bagaimana kalau kita mulai? Mari kita lihat setidaknya salah satu dari kita berakhir sesuai dengan sifat kita!"
STEEL_SENTINEL_REOFFER,"Creature, higher... It has been sent... by Masters served... to retrieve Zi&#8217;s vassal lost?","Makhluk, yang lebih tinggi... Telah dikirim... oleh para Tuan yang melayani... untuk mengambil kembali vasal Zi yang hilang?"
STEEL_SERVANT_END_1_ACT3,"No. No. No... My saviour slain!&lt;page&gt;Why do you do this, cruel slasher? Why must I stay, and serve, so long, long, long?&lt;hpage&gt;That void must not be called, bug. Already it attacks these lands with enough force to end them. To summon it stronger will only hasten that fall.&lt;hpage&gt;For this moment at least, your shell is saved. It was only by wish of your steel companion, and fear of her Masters&#8217; punishment, that I arrived in time.","Tidak. Tidak. Tidak... Penyelamatku terbunuh!&lt;halaman&gt;Mengapa kau melakukan ini, pembunuh kejam? Mengapa aku harus tinggal dan melayani begitu lama, lama, lama?&lt;halaman&gt;Kekosongan itu tidak boleh dipanggil, bug. Ia sudah menyerang tanah-tanah ini dengan kekuatan yang cukup untuk menghancurkannya. Memanggilnya dengan kekuatan yang lebih besar hanya akan mempercepat kehancuran itu.&lt;hpage&gt;Untuk saat ini setidaknya, cangkangmu selamat. Hanya karena keinginan teman besimu dan ketakutan akan hukuman para Tuan-tuannya, aku tiba tepat waktu."
PINSTRESS_FINAL_DEFEATED_PRE,"Gah! Bested fair, and yet you choose to stay the killing blow?&lt;hpage&gt;I can test you, Pinstress, and myself for what&#8217;s to come, but I will not cut you down.&lt;hpage&gt;Despite its quakes, Pharloom&#8217;s demise is not as certain as it seems. I shall act to change that fate.&lt;hpage&gt;If I succeed at my task, the land that remains will require the watch of strong bugs like you.&lt;page&gt;Well ain&#8217;t you an inspiration! Makin&#8217; me seem a right fool, here thinkin&#8217; only on the end while you&#8217;re looking to a future fair...&lt;page&gt;Seems you&#8217;ve beaten me twice, needle bug, both my pin&#8217;s edge, and my heart&#8217;s resolve...","Gah! Kau telah dikalahkan dengan adil, namun kau memilih untuk menahan serangan mematikan?&lt;hpage&gt;Aku bisa menguji dirimu, Pinstress, dan diriku sendiri untuk apa yang akan datang, tapi aku tidak akan membunuhmu.&lt;hpage&gt;Meskipun gempa-gempanya, kehancuran Pharloom tidak sepenuhnya pasti seperti yang terlihat. Aku akan bertindak untuk mengubah nasib itu.&lt;hpage&gt;Jika aku berhasil dalam tugasku, tanah yang tersisa akan membutuhkan pengawasan dari serangga kuat seperti kamu.&lt;page&gt;Well, bukankah kamu inspirasi! Kau membuatku terlihat seperti orang bodoh, di sini hanya memikirkan akhir sementara kau melihat ke masa depan yang cerah...&lt;page&gt;Sepertinya kau telah mengalahkanku dua kali, serangga jarum, baik ujung jarumku maupun tekad hatiku... "
STEEL_SENTINEL_ACCEPT,"&lt;hpage&gt;Not for your Masters, but by my own will I may aid you, Zi, as long as the path permits.&lt;hpage&gt;Of your vassal, I have met one before, a scurrilous, scheming sort, and well able to remain hidden.&lt;hpage&gt;If your own servant shares similar disposition, they may prove hard to retrieve. Where would you advise I begin my search?&lt;page&gt;Zi has sensed their movement... She knows their places of rest. For pale It... Zi shall mark their chart.&lt;page&gt;Seek the vassal... Retrieve them, or their corpse... either is appropriate... either will aid... to avoid the Masters&#8217; wrath.","&lt;hpage&gt;Bukan untuk para tuanmu, tetapi atas kehendakku sendiri aku dapat membantumu, Zi, selama jalan ini mengizinkannya.&lt;hpage&gt;Dari para vasalmu, aku pernah bertemu satu sebelumnya, seorang yang licik dan penuh tipu daya, dan mampu bersembunyi dengan baik.&lt;hpage&gt;Jika pelayanmu memiliki sifat serupa, mereka mungkin sulit untuk ditemukan. Di mana kau sarankan aku memulai pencarianku?&lt;page&gt;Zi telah merasakan pergerakan mereka... Dia tahu tempat-tempat istirahat mereka. Untuk yang pucat itu... Zi akan menandai peta mereka.&lt;page&gt;Cari vasal itu... Temukan mereka, atau mayat mereka... keduanya sama saja... keduanya akan membantu... untuk menghindari amarah para Tuan."
PINSTRESS_INTERIOR_GROUND_MEET_ACT_3,"So rude! To raise a Pinstress from their deep meditation!&lt;page&gt;You carry on with that kind of brash behaviour and you&#8217;re likely to be stuck quick through!&lt;hpage&gt;I&#8217;m surprised to find any bug still alive in such an inhospitable place. You are a warrior learned in the blades of this land?&lt;page&gt;Aye! A Pinstress! Your needle there might fit you fair, but the pin that&#8217;s the glorious weapon of Pharloom, least it was... it&#8217;s sure starting to feel like Pharloom doesn&#8217;t have long left.&lt;page&gt;Well, given I&#8217;m now awake, and time&#8217;s suddenly short, maybe you&#8217;d fancy a little training? Might be even this old master could show you a thing or two?","Betapa kasarnya! Mengganggu seorang Pinstress dari meditasi dalamnya!&lt;page&gt;Jika kamu terus bertindak seenaknya seperti itu, kamu akan segera tertusuk!&lt;hpage&gt;Aku terkejut masih ada serangga yang hidup di tempat yang begitu tidak ramah ini. Kamu seorang pejuang yang mahir dalam senjata tajam di tanah ini?&lt;page&gt;Ya! Seorang Pinstress! Jarummu mungkin cocok untukmu, tapi jarum yang merupakan senjata mulia Pharloom, setidaknya dulu... Rasanya Pharloom tidak punya banyak waktu lagi.&lt;page&gt;Nah, mengingat aku sekarang sudah bangun, dan waktu tiba-tiba singkat, mungkin kamu tertarik untuk berlatih sedikit? Mungkin bahkan master tua ini bisa menunjukkan padamu satu atau dua hal?"
PINSTRESS_NPC_REPEAT,PINSTRESS_NPC_REPEAT,PINSTRESS_NPC_REPEAT
PINSTRESS_INTERIOR_SIT_TALK_REPEAT,"Off with you now, needle bug. I&#8217;ve respect for you and your sharp blade, but my hospitality shouldn&#8217;t be abused.","Pergi kau sekarang, serangga jarum. Aku menghormati kau dan pisau tajammu, tapi kebaikan hatiku tidak boleh disalahgunakan."
PINSTRESS_FINAL_ICECORE_VISITED,"Dunno if you&#8217;ve heard it, needle bug, but supposedly there&#8217;s a gleaming secret hidden at this mountain&#8217;s core.&lt;page&gt;Meant to be a marvel, or so my sisters past once told, a giant cavern all of crystal.&lt;hpage&gt;I have visited the core, Pinstress. It was a remarkable site indeed. I only hope that it shall not soon be lost.&lt;page&gt;Course you&#8217;ve seen it! Master at the blade and at the seeking. You&#8217;ve proven yourself an imposing talent. &lt;page&gt;Well, given you seem done up here, maybe its time you get back to your all important business?","Tidak tahu apakah kamu sudah dengar, jarum kecil, tapi konon ada rahasia berkilau yang tersembunyi di inti gunung ini.&lt;page&gt;Diharapkan menjadi keajaiban, atau begitu kata kakak-kakakku yang sudah tiada, sebuah gua raksasa yang seluruhnya terbuat dari kristal.&lt;hpage&gt;Aku sudah mengunjungi inti gunung itu, Pinstress. Itu memang pemandangan yang luar biasa. Aku hanya berharap agar tempat itu tidak segera hilang.&lt;page&gt;Tentu saja kamu sudah melihatnya! Ahli dalam pedang dan dalam pencarian. Kamu telah membuktikan dirimu sebagai talenta yang mengesankan. &lt;page&gt;Nah, mengingat kamu sepertinya sudah selesai di sini, mungkin sudah waktunya kamu kembali ke urusan pentingmu?"
STEEL_SERVANT_END_2,"&lt;page&gt;But the seer knows nothing! Nothing of the pain. All small Sula&#8217;s to bear... To watch, watch these lands dying, slow, the bugs suffering, falling, while our shell sustains...&lt;page&gt;The steelhearts feel so little... but we forced to serve, we endure it all. We alone. Why?&lt;hpage&gt;...Others may know that pain, small bug... Or at least something similar.&lt;page&gt;So will you chain me again? Herd me by point of your blade, and knowingly return me to that pain?&lt;hpage&gt;...I will not. I will inform the child of steel of what has transpired here, but I cannot force any bug to return to a task so cruel.&lt;page&gt;Then, then... Sula is free? At least to run? By your mercy, bug, these legs must move, quick, quick and far, far!","&lt;page&gt;Tapi sang peramal tidak tahu apa-apa! Tidak tahu tentang penderitaan. Semua penderitaan kecil yang harus ditanggung... Menonton, menonton tanah-tanah ini mati perlahan, serangga-serangga menderita, jatuh, sementara cangkang kita bertahan...&lt;page&gt;Hati baja merasa begitu sedikit... tapi kita dipaksa untuk melayani, kita menanggung semuanya. Kita sendirian. Mengapa?&lt;hpage&gt;...Yang lain mungkin tahu penderitaan itu, serangga kecil... Atau setidaknya sesuatu yang serupa.&lt;page&gt;Jadi, apakah kau akan mengikatku lagi? Menggiringku dengan ujung pedangmu, dan dengan sengaja mengembalikan aku ke penderitaan itu?&lt;hpage&gt;...Aku tidak akan melakukannya. Aku akan memberitahu anak baja tentang apa yang terjadi di sini, tapi aku tidak bisa memaksa serangga mana pun untuk kembali ke tugas yang begitu kejam.&lt;page&gt;Lalu, lalu... Sula bebas? Setidaknya untuk berlari? Dengan belas kasihanmu, serangga, kaki ini harus bergerak, cepat, cepat, dan jauh, jauh!"
STEEL_SENTINEL_REPEAT,"Zi must watch, record... and wait... Always she is true to her function... Ore-bound... To duty.","Zi harus mengawasi, merekam... dan menunggu... Selalu dia setia pada fungsinya... Terikat pada tugas... Kepada kewajiban."
PINSTRESS_FINAL_DEFEATED_REPEAT,A mighty battle we had my friend... Time now you get to your all important business. I&#8217;ll be wishing for your success.,"Pertempuran hebat yang kita alami, kawan... Sekarang saatnya kamu fokus pada urusan pentingmu. Aku akan mendoakan kesuksesanmu."
STEEL_SENTINEL_OFFER,"...Creature, higher... Its meeting. Zi&#8217;s awakening... It is not chance... It has been sent to Zi, yes? By Masters served?... To retrieve her vassal lost?","...Makhluk, yang lebih tinggi... Pertemuannya. Kebangkitan Zi... Ini bukan kebetulan... Dia telah dikirim ke Zi, bukan? Oleh para Guru yang melayaninya?... Untuk mengambil kembali vasalnya yang hilang?"
PINSTRESS_INTERIOR_SIT_TALK_01,"&lt;hpage&gt;Pinstress, why do you choose to live amidst these storm-swept caverns? Surely there are more hospitable places?&lt;page&gt;Somewhere gentler? Warmer? I&#8217;d only go soft! How else is one expected to maintain their wits?&lt;hpage&gt;Then this is not a place of hiding? That Citadel up top seems no friend to the free, or the strong who&#8217;d choose to remain apart.&lt;page&gt;...Aye. Well, yes. That too&#8217;s a reason, though one that shames me some.&lt;page&gt;Our grand Citadel learnt well from the training of Pinstresses past. Then it went and turned those teaching upon us!&lt;page&gt;Despite our superior skills, our numbers have always been few and their strength overwhelmed.&lt;page&gt;Of my once revered order, only two of us remain, wormed away in Pharloom&#8217;s forgotten corners, and my pin-sibling, she&#8217;s lost herself to more peaceable pursuits.","&lt;hpage&gt;Pinstress, mengapa kau memilih untuk tinggal di antara gua-gua yang diterpa badai ini? Pasti ada tempat yang lebih ramah?&lt;page&gt;Tempat yang lebih lembut? Lebih hangat? Aku akan menjadi lemah! Bagaimana lagi seseorang diharapkan untuk mempertahankan akal sehatnya?&lt;hpage&gt;Lalu ini bukan tempat untuk bersembunyi? Kota Benteng di atas sana tampaknya bukan teman bagi yang bebas, atau yang kuat yang memilih untuk tetap terpisah.&lt;page&gt;...Ya. Benar. Itu juga alasan, meski membuatku malu.&lt;page&gt;Kota Benteng besar kita belajar dengan baik dari pelatihan Pinstress masa lalu. Lalu mereka balik menggunakan ajaran itu melawan kita!&lt;page&gt;Meskipun keahlian kita lebih unggul, jumlah kita selalu sedikit dan kekuatan mereka melebihi kita.&lt;page&gt;Dari ordo yang dulu saya hormati, hanya dua dari kita yang tersisa, tersembunyi di sudut-sudut terlupakan Pharloom, dan saudara pin saya, dia telah beralih ke kegiatan yang lebih damai."
WORLD_EDGE_REPEAT,"&lt;hpage&gt;I cannot yet leave this land. Until I slay its source, this kingdom&#8217;s hunger for me will never abate.","&lt;hpage&gt;Saya belum bisa meninggalkan tanah ini. Sampai saya membunuh sumbernya, rasa lapar kerajaan ini terhadap saya tidak akan pernah surut."
STEEL_SENTINEL_DECLINE,"Pale It... You would reject the role? Are you not tamed, bound, by Masters?... You would know... obedience is essential.&lt;page&gt;Recall, the fate of those who defy... Even you higher... Especially you higher...&lt;page&gt;...Compression... We have suffered it. We would never wish it upon another.","Pale It... Apakah kau akan menolak peran itu? Bukankah kau telah dijinakkan, diikat oleh Para Tuan?... Kau akan tahu... ketaatan adalah hal yang esensial.&lt;page&gt;Ingatlah, nasib mereka yang menentang... Bahkan kau yang lebih tinggi... Terutama kau yang lebih tinggi...&lt;page&gt;...Kompresi... Kami telah mengalaminya. Kami tidak akan pernah menginginkannya menimpa orang lain."
PINSTRESS_INTERIOR_GROUND_DECLINED,"Ahh, is your needle too shy to show its edge? What a shame.","Ah, apakah jarummu terlalu malu untuk menunjukkan ujungnya? Sayang sekali."
PINSTRESS_INTERIOR_STAND_REPEAT,"Even my welcome has limits, needle bug.&lt;page&gt;I&#8217;ve become well accustomed to solitude, and it&#8217;s unnerving to play host to your strange strength overlong.","Bahkan sambutan saya pun ada batasnya, serangga jarum.&lt;page&gt;Saya sudah terbiasa dengan kesendirian, dan rasanya mengganggu harus menjadi tuan rumah bagi kekuatan anehmu terlalu lama."
PINSTRESS_INTERIOR_GROUND_REOFFER,"Planning to hang about are you, needle bug?&lt;page&gt;Fancy a little training? Care to test the power of a Pinstress? Might be even this old master could show you a thing or two?","Berencana untuk bermalas-malasan ya, serangga jarum?&lt;page&gt;Mau mencoba latihan kecil? Mau mencoba kekuatan Pinstress? Mungkin bahkan master tua ini bisa mengajarkanmu satu atau dua hal?"
PINSTRESS_FINAL_REOFFER,"Having second thoughts on our bout, needle bug? Good! I&#8217;ll not hold back my blade, and I&#8217;ll expect the same from you.","Apakah kamu ragu-ragu tentang pertarungan kita, serangga jarum? Bagus! Aku tidak akan menahan pedangku, dan aku mengharapkan hal yang sama darimu."
STEEL_SENTINEL_MEET,"...Bug... Higher... It has come seeking... Zi is found... She is awoken.&lt;hpage&gt;Greetings, child of steel. I have known your type, in past. From your presence it is clear this land too has caught the long gaze of your Masters.&lt;page&gt;Masters... Yes... For them, Zi observes... obedient... always...&lt;page&gt;And you... a creature in half... Pale It... Bug It... old... stubborn... alone... You too are observed.","...Bug... Lebih tinggi... Ia datang mencari... Zi ditemukan... Dia terbangun.&lt;hpage&gt;Salam, anak baja. Aku mengenal jenismu, di masa lalu. Dari kehadiranmu, jelas bahwa tanah ini pun telah tertangkap oleh pandangan panjang para Tuanmu.&lt;page&gt;Tuan... Ya... Bagi mereka, Zi mengamati... patuh... selalu...&lt;page&gt;Dan kau... makhluk setengah... Pucat Itu... Bug Itu... tua... keras kepala... sendirian... Kau pun diamati."
STEEL_SENTINEL_OFFER_NO_MAP,"...Creature, higher... Its meeting, Zi&#8217;s awakening... It is not chance... It has been sent, by Masters served?... To retrieve her vassal lost?&lt;page&gt;But no... pale It cannot.. First, a chart is needed. Pale It must acquire one. Only then can Zi provide the marks... Their vassal&#8217;s location sensed strong.","...Makhluk, yang lebih tinggi... Pertemuannya, kebangkitan Zi... Ini bukan kebetulan... Ia telah dikirim, oleh para Guru yang melayaninya?... Untuk mengambil kembali vasal yang hilang?&lt;halaman&gt;Tapi tidak... Pucat itu tidak bisa.. Pertama, diperlukan peta. Pucat itu harus mendapatkannya. Hanya setelah itu Zi dapat memberikan tanda-tanda... Lokasi vasal mereka terdeteksi dengan kuat."
STEEL_SENTINEL_END_1,"&lt;hpage&gt;Zi, your vassal is gone, alive, fled beyond these lands.&lt;hpage&gt;I chose to allow their escape, even if your wish may not be granted.&lt;page&gt;The wish? No... pale It... Zi sensed clear your meeting... The rite... The vassal is tarnished. They have touched the dark. By the Masters they will now be hunted... no matter the distance fled.&lt;hpage&gt;Perhaps, for your vassal, that is preferable? Waste here in servitude or flee free. They made their choice, and proclaimed it clear by their black action.&lt;hpage&gt;Their dark champion is slain, but luck or guile may yet see them survive.&lt;page&gt;Hope!.. Pale It... For a vassal who defies the Masters?... You give Zi a thought, complex...&lt;page&gt;The outcome is different... and Zi must now observe alone... but this may be the better way?&lt;page&gt;Zi shall accept the happening... shall pray the Masters still see her loyal... and Zi too will share the hope... that her vassal lives long unbound.","&lt;hpage&gt;Zi, vasalmu telah pergi, masih hidup, melarikan diri melampaui tanah-tanah ini.&lt;hpage&gt;Aku memilih untuk membiarkan mereka melarikan diri, meskipun keinginanmu mungkin tidak terpenuhi.&lt;page&gt;Keinginan? Tidak... pucat... Zi merasakan dengan jelas pertemuanmu... Upacara... Vasal itu telah ternoda. Mereka telah menyentuh kegelapan. Oleh para Tuan, mereka kini akan diburu... tak peduli seberapa jauh mereka melarikan diri.&lt;hpage&gt;Mungkin, bagi vasalmu, itu lebih baik? Menghabiskan hidup dalam perbudakan atau melarikan diri dengan bebas. Mereka telah membuat pilihan mereka, dan mengumumkannya dengan jelas melalui tindakan gelap mereka.&lt;hpage&gt;Pahlawan gelap mereka telah terbunuh, tetapi keberuntungan atau kecerdikan mungkin masih memungkinkan mereka bertahan hidup.&lt;page&gt;Harapan!.. Pucatlah... Bagi seorang vasal yang menentang Para Tuan?... Kau memikirkan Zi, rumit...&lt;page&gt;Hasilnya berbeda... dan Zi kini harus mengamati sendirian... tetapi mungkin ini cara yang lebih baik?&lt;page&gt;Zi akan menerima kejadian ini... akan berdoa agar Para Tuan masih melihat kesetiaannya... dan Zi pun akan berbagi harapan... bahwa vasalnya hidup lama tanpa ikatan."
PINSTRESS_FINAL_DEFEATED_POST,"For your talents, needle bug, in blade and strength... and restraint, take this emblem of my order.&lt;page&gt;Hadn&#8217;t ever thought another&#8217;d be joining our slim ranks, but you&#8217;re as deserving a member as&#8217;s ever come before.","Untuk bakatmu, jarum kecil, dalam keahlian dan kekuatan... serta pengendalian diri, ambillah lambang ordo ini.&lt;page&gt;Aku tak pernah menyangka akan ada yang bergabung dengan barisan kami yang tipis ini, tapi kau pantas menjadi anggota sepertimu yang pernah ada sebelumnya."
WORLD_EDGE_ACT3_REPEAT,&lt;hpage&gt;I will not flee. I cannot abandon the kingdom to a collapse of my making.,&lt;hpage&gt;Aku tidak akan melarikan diri. Aku tidak dapat membiarkan kerajaan ini runtuh karena kesalahanku sendiri.
STEEL_SENTINEL_REOFFER_NO_MAP,"Creature, higher... return when a chart is acquired. A chart is needed, essential, to serve the Masters... to aid Zi.","Makhluk, yang lebih tinggi... kembali ketika sebuah peta diperoleh. Sebuah peta diperlukan, esensial, untuk melayani Para Guru... untuk membantu Zi."
PINSTRESS_FINAL_DECLINE,"Ahh... Shame. Surely battle&#8217;d be the better end, no?&lt;page&gt;If not by blade, we&#8217;ll just have to accept whatever conclusion this new quaking calamity flings upon our heads.","Ahh... Sayang sekali. Tentu saja pertempuran akan menjadi akhir yang lebih baik, bukan?&lt;page&gt;Jika bukan dengan pedang, kita hanya bisa menerima apapun kesimpulan yang dilemparkan oleh bencana gempa baru ini ke atas kepala kita."
STEEL_SERVANT_RITUAL,"&lt;hpage&gt;Cease your summoning, fool bug!&lt;hpage&gt;Though you may yearn for freedom, that saviour you hope to call will bring only death.","&lt;hpage&gt;Hentikan pemanggilanmu, serangga bodoh!&lt;hpage&gt;Meskipun kau mendambakan kebebasan, penolong yang kau harapkan untuk dipanggil hanya akan membawa kematian."
PINSTRESS_INTERIOR_GROUND_TALK,"It&#8217;s a right long time since I&#8217;ve felt so vigorous. All those dulled pilgrims are useless for testing my talents.&lt;hpage&gt;Your blade proved an impressive challenge, Pinstress. The strength and skills hidden about this kingdom continue to surprise me.&lt;page&gt;You bear your own strange strengths, needle bug. More I think than you&#8217;d be willing to reveal to me.&lt;page&gt;What, I wonder, are you planning to turn all that power towards?","Sudah lama sekali sejak aku merasa sepenuh tenaga seperti ini. Semua peziarah yang tumpul itu tak berguna untuk menguji kemampuanku.&lt;hpage&gt;Pedangmu terbukti menjadi tantangan yang mengesankan, Pinstress. Kekuatan dan keterampilan yang tersembunyi di kerajaan ini terus membuatku terkejut.&lt;page&gt;Kamu memiliki kekuatan anehmu sendiri, serangga jarum. Lebih dari yang kau bersedia ungkapkan padaku.&lt;page&gt;Apa, aku penasaran, yang kau rencanakan untuk mengarahkan semua kekuatan itu?"
STEEL_SERVANT_END_1,"No. No. No... My champion slain!&lt;page&gt;Why do you do this, cruel slasher? Why must I stay, and serve, so long, long, long?&lt;hpage&gt;That void must not be called, bug. Not ever. None can control it, though many have tried. &lt;hpage&gt;Any strength you hoped it offered would fast be proven false.&lt;hpage&gt;Consider yourself fortunate I arrived in time. Your shell is saved, all by wish of your steel companion, and fear of her Masters&#8217; punishment.","Tidak. Tidak. Tidak... Juaraku terbunuh!&lt;page&gt;Mengapa kau melakukan ini, pembunuh kejam? Mengapa aku harus tinggal dan melayani begitu lama, lama, lama?&lt;hpage&gt;Kekosongan itu tidak boleh dipanggil, bug. Tidak pernah. Tidak ada yang bisa mengendalikannya, meskipun banyak yang telah mencoba. &lt;hpage&gt;Setiap kekuatan yang kau harapkan darinya akan segera terbukti palsu.&lt;hpage&gt;Anggap dirimu beruntung aku tiba tepat waktu. Cangkangmu diselamatkan, hanya karena keinginan teman besimu, dan ketakutan akan hukuman para Tuan-tuannya."
WORLD_EDGE_ACT3,"&lt;hpage&gt;If I chose to head beyond I would abandon Pharloom to a collapse of my making.&lt;hpage&gt;While I live, and still possess the strength to act, I will not allow that end to come to pass.","&lt;hpage&gt;Jika aku memilih untuk pergi lebih jauh, aku akan meninggalkan Pharloom pada kehancuran yang kubuat sendiri.&lt;hpage&gt;Selama aku masih hidup dan masih memiliki kekuatan untuk bertindak, aku tidak akan membiarkan akhir itu terjadi."
